satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
2,3,2,4,1,1,3,Oui,11 %,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,Oui,0,0,1,1,2,Infra & Cloud,Occasionnel,0,5
3,2,2,2,4,3,4,Non,23 %,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,Non,1,3,1,8,1,Infra & Cloud,Frequent,1,7
4,2,1,3,2,3,3,Oui,15 %,37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,Oui,0,3,1,2,2,Autre,Occasionnel,0,0
4,3,1,3,3,3,3,Oui,11 %,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,Non,0,3,1,3,4,Infra & Cloud,Frequent,3,0
1,3,1,2,4,3,3,Non,12 %,27,M,3468,Marié(e),Consulting,Consultant,9,6,2,2,Non,1,3,1,2,1,Transformation Digitale,Occasionnel,2,2
4,3,1,4,3,2,3,Non,13 %,32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,Non,0,2,1,2,2,Infra & Cloud,Frequent,3,6
3,4,1,1,1,2,4,Oui,20 %,59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,Non,3,3,1,3,3,Transformation Digitale,Occasionnel,0,0
4,3,1,3,2,3,4,Non,22 %,30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,Non,1,2,1,24,1,Infra & Cloud,Occasionnel,0,0
4,2,3,3,2,3,4,Non,21 %,38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,Non,0,2,1,23,3,Infra & Cloud,Frequent,1,8
3,3,2,3,2,2,3,Non,13 %,36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,Non,2,3,1,27,3,Transformation Digitale,Occasionnel,7,7
1,4,1,2,3,3,3,Non,13 %,35,M,2426,Marié(e),Consulting,Consultant,0,6,5,4,Non,1,5,1,16,3,Transformation Digitale,Occasionnel,0,3
4,2,2,3,4,3,3,Oui,12 %,29,F,4193,Célibataire,Consulting,Consultant,0,10,9,5,Non,0,3,1,15,2,Infra & Cloud,Occasionnel,0,8
1,3,1,3,4,2,3,Non,17 %,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,Non,1,1,1,26,1,Infra & Cloud,Occasionnel,4,3
2,3,1,4,3,3,3,Non,11 %,34,M,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,Non,1,2,1,19,2,Transformation Digitale,Occasionnel,1,2
3,2,1,3,2,3,3,Oui,14 %,28,M,2028,Célibataire,Consulting,Consultant,5,6,4,2,Oui,0,4,1,24,3,Infra & Cloud,Occasionnel,0,3
2,4,3,1,3,3,3,Non,11 %,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,Non,1,1,1,21,4,Infra & Cloud,Occasionnel,8,8
1,4,1,2,4,2,3,Oui,12 %,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,Non,2,5,1,5,2,Infra & Cloud,Occasionnel,0,5
4,4,1,4,2,2,3,Oui,13 %,22,M,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,Non,2,2,1,16,2,Transformation Digitale,Aucun,0,0
